text,true_label,prediction,correct
I ordered a card but it has not arrived. Help please!,card_arrival,order_physical_card,False
Is it normal to have to wait over a week for my new card?,card_arrival,card_delivery_estimate,False
How do I track my card?,card_arrival,card_linking,False
How long does a card delivery take?,card_arrival,card_delivery_estimate,False
I still don't have my card after 2 weeks.  What should I do?,card_arrival,lost_or_stolen_card,False
I am still waiting for my card after 1 week.  Is this ok?,card_arrival,card_delivery_estimate,False
"I did not get my card yet, is it lost?",card_arrival,lost_or_stolen_card,False
Status of the card I ordered.,card_arrival,order_physical_card,False
"I'm still waiting for delivery of my new card, why is it taking so long?",card_arrival,card_delivery_estimate,False
"I ordered a card a week ago, and it's still not here. What do I do?",card_arrival,card_delivery_estimate,False
I was expecting my new card and am wondering why I haven't received it yet?,card_arrival,pending_card_payment,False
I'm still waiting on my card to be delivered.,card_arrival,card_delivery_estimate,False
Does the card you sent have a way to track to it?,card_arrival,card_linking,False
"I'm starting to think my card is lost because it still hasn't arrived, can you help?",card_arrival,lost_or_stolen_card,False
Is there tracking info available?,card_arrival,edit_personal_details,False
What is the tracking number for the card you sent?,card_arrival,activate_my_card,False
Where is the tracking number for the card you sent me?,card_arrival,card_linking,False
I would like to reactivate my card.,card_linking,activate_my_card,False
"I received my new card, but I don't see it in the app anywhere.  What do I do?",card_linking,direct_debit_payment_not_recognised,False
How do I re-add a card to the app?,card_linking,order_physical_card,False
Can I put my old card back into the system? I just found it/,card_linking,compromised_card,False
"Hello, I found the card I misplaced and I need to reactive it, how do I do that?",card_linking,lost_or_stolen_card,False
Can I reactivate my lost card that I found this morning in my jacket pocket?,card_linking,activate_my_card,False
The app doesn't show the card I received.,card_linking,passcode_forgotten,False
Can I reactivate a card I thought I lost?,card_linking,activate_my_card,False
Where do I need to go in the app to enter my card info?,card_linking,card_acceptance,False
I have found my lost or stolen card. Is there a way I can link the card with my account through my app again?,card_linking,lost_or_stolen_card,False
"Could you help me reactivate my card? It was previously lost, but I found it this morning in my jacket.",card_linking,activate_my_card,False
