text,true_label,prediction,correct,inference_time
How do I locate my card?,card_arrival,lost_or_stolen_card,False,0.776475191116333
Is there a way to know when my card will arrive?,card_arrival,card_delivery_estimate,False,0.3110034465789795
When will I get my card?,card_arrival,card_delivery_estimate,False,0.2821848392486572
How long does a card delivery take?,card_arrival,card_delivery_estimate,False,0.2761483192443847
How long should my new card take to arrive?,card_arrival,card_delivery_estimate,False,0.2371573448181152
The app doesn't show the card I received.,card_linking,card_arrival,False,0.2323870658874511
Is it a good time to exchange?,exchange_rate,exchange_timing,False,0.1841311454772949
when does the rate get determined,exchange_rate,card_payment_wrong_exchange_rate,False,0.327235460281372
Why am I being charged more ?,card_payment_wrong_exchange_rate,card_payment_fee_charged,False,0.3232524394989013
How can I check the exchange rate applied to my transaction?,card_payment_wrong_exchange_rate,exchange_rate,False,0.1720125675201416
I'm not okay with this fee on my statement.,extra_charge_on_statement,card_payment_fee_charged,False,0.3140642642974853
There is a fee I don't recognize on my statement.,extra_charge_on_statement,card_payment_fee_charged,False,0.3296480178833008
Where did this fee come from?,extra_charge_on_statement,card_payment_fee_charged,False,0.3180081844329834
"It's been two weeks, why has the transaction for $1.00 not been reversed?",extra_charge_on_statement,pending_transfer,False,0.1830010414123535
Where's accounting for my cash withdrawal?,pending_cash_withdrawal,cash_withdrawal_not_recognised,False,0.5032527446746826
My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,cash_withdrawal_not_recognised,False,0.4875075817108154
"If I request that my funds be held, what currencies do you use?",fiat_currency_support,supported_cards_and_currencies,False,0.3381986618041992
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,direct_debit_payment_not_recognised,False,0.4660737514495849
Am I able to exchange currencies?,fiat_currency_support,exchange_via_app,False,0.247485876083374
Can I exchange currencies?,fiat_currency_support,exchange_via_app,False,0.2285501956939697
How do I accept exchanges to EU?,fiat_currency_support,exchange_via_app,False,0.2740874290466308
my card was not in the mail again can you advise?,card_delivery_estimate,card_arrival,False,0.2790071964263916
Can I get my card expedited?,card_delivery_estimate,card_arrival,False,0.2200818061828613
I am waiting for my card to arrive.,card_delivery_estimate,card_arrival,False,0.2264726161956787
where is theft-top option?,automatic_top_up,lost_or_stolen_phone,False,0.3037419319152832
How do I make sure I don't run out of money on my card while traveling?,automatic_top_up,out_of_cash_capacity,False,0.2720098495483398
Can I space out how often money is transferred along my travels?,automatic_top_up,transfer_fee_charged,False,0.2730245590209961
