true_label,prediction,count
Refund_not_showing_up,request_refund,33
exchange_charge,request_refund,31
declined_cash_withdrawal,request_refund,29
terminate_account,terminate_account,29
top_up_by_card_charge,request_refund,29
getting_spare_card,request_refund,28
declined_card_payment,request_refund,28
top_up_by_bank_transfer_charge,request_refund,28
age_limit,request_refund,28
request_refund,request_refund,27
pending_top_up,request_refund,26
failed_transfer,request_refund,26
top_up_limits,request_refund,25
beneficiary_not_allowed,request_refund,24
virtual_card_not_working,request_refund,24
top_up_failed,request_refund,24
card_payment_fee_charged,request_refund,24
card_about_to_expire,request_refund,23
verify_my_identity,verify_my_identity,23
card_arrival,request_refund,23
country_support,request_refund,23
card_swallowed,request_refund,23
wrong_amount_of_cash_received,request_refund,23
automatic_top_up,request_refund,23
contactless_not_working,request_refund,23
lost_or_stolen_card,request_refund,22
top_up_reverted,request_refund,22
pin_blocked,request_refund,22
cash_withdrawal_charge,request_refund,22
order_physical_card,request_refund,22
card_not_working,request_refund,22
edit_personal_details,edit_personal_details,21
declined_transfer,request_refund,21
reverted_card_payment?,request_refund,21
lost_or_stolen_phone,request_refund,21
transfer_fee_charged,request_refund,21
compromised_card,request_refund,21
balance_not_updated_after_cheque_or_cash_deposit,request_refund,20
pending_transfer,request_refund,20
visa_or_mastercard,request_refund,19
pending_card_payment,request_refund,19
disposable_card_limits,request_refund,19
change_pin,request_refund,19
transfer_timing,request_refund,18
supported_cards_and_currencies,request_refund,18
receiving_money,request_refund,18
card_linking,request_refund,18
extra_charge_on_statement,request_refund,18
fiat_currency_support,request_refund,18
passcode_forgotten,request_refund,17
topping_up_by_card,request_refund,17
transfer_into_account,request_refund,17
transfer_not_received_by_recipient,request_refund,17
activate_my_card,request_refund,17
cancel_transfer,request_refund,17
pending_cash_withdrawal,request_refund,17
card_delivery_estimate,request_refund,16
getting_virtual_card,request_refund,16
apple_pay_or_google_pay,request_refund,16
unable_to_verify_identity,verify_my_identity,16
passcode_forgotten,passcode_forgotten,15
top_up_by_cash_or_cheque,request_refund,15
card_payment_not_recognised,request_refund,14
wrong_exchange_rate_for_cash_withdrawal,request_refund,14
