text,true_label,prediction,correct
"I still have not received my new card, I ordered over a week ago.",card_arrival,pending_card_payment,False
Do you know if there is a tracking number for the new card you sent me?,card_arrival,transfer_into_account,False
i have not received my card,card_arrival,card_not_working,False
How do I track my card?,card_arrival,card_linking,False
How long does a card delivery take?,card_arrival,transfer_timing,False
I still don't have my card after 2 weeks.  What should I do?,card_arrival,card_about_to_expire,False
"I did not get my card yet, is it lost?",card_arrival,lost_or_stolen_card,False
Status of the card I ordered.,card_arrival,card_acceptance,False
I ordered my card 2 weeks ago and it still isn't here? What do I do?,card_arrival,card_not_working,False
What is the tracking number for my card that was mailed?,card_arrival,card_linking,False
I think something went wrong with my card delivery as I haven't received it yet.,card_arrival,card_not_working,False
"I'm still waiting for delivery of my new card, why is it taking so long?",card_arrival,transfer_timing,False
"I ordered a card a week ago, and it's still not here. What do I do?",card_arrival,card_not_working,False
i want to track the card you sent,card_arrival,card_linking,False
I'm still waiting on my card to be delivered.,card_arrival,pending_card_payment,False
Does the card you sent have a way to track to it?,card_arrival,passcode_forgotten,False
I ordered a card and I still haven't received it. It's been two weeks. What can I do?,card_arrival,order_physical_card,False
"I'm starting to think my card is lost because it still hasn't arrived, can you help?",card_arrival,lost_or_stolen_card,False
Is there tracking info available?,card_arrival,edit_personal_details,False
What is the tracking number for the card you sent?,card_arrival,transfer_into_account,False
Where is the tracking number for the card you sent me?,card_arrival,activate_my_card,False
Why won't my card show up on the app?,card_linking,card_not_working,False
I would like to reactivate my card.,card_linking,activate_my_card,False
"I received my new card, but I don't see it in the app anywhere.  What do I do?",card_linking,card_not_working,False
How do I add the card to my account?,card_linking,activate_my_card,False
Can I put my old card back into the system? I just found it/,card_linking,compromised_card,False
"Hello, I found the card I misplaced and I need to reactive it, how do I do that?",card_linking,card_acceptance,False
How do I view the card I received in the app?,card_linking,activate_my_card,False
"I found my card, I would like to reactivate it.",card_linking,activate_my_card,False
Can I reactivate my lost card that I found this morning in my jacket pocket?,card_linking,activate_my_card,False
The app doesn't show the card I received.,card_linking,card_not_working,False
Is there a way to make my old card usable with the app?,card_linking,compromised_card,False
Can I reactivate a card I thought I lost?,card_linking,activate_my_card,False
Where do I need to go in the app to enter my card info?,card_linking,activate_my_card,False
"Could you help me reactivate my card? It was previously lost, but I found it this morning in my jacket.",card_linking,activate_my_card,False
How did you come up with your exchange rates?,exchange_rate,card_swallowed,False
Is it a good time to exchange?,exchange_rate,exchange_charge,False
I'm trying to figure out the current exchange rate.,exchange_rate,card_linking,False
I purchased something in a foreign currency but the rate applied is wrong,card_payment_wrong_exchange_rate,exchange_rate,False
I made a currency exchange and think I was charged more than I should of been.,card_payment_wrong_exchange_rate,extra_charge_on_statement,False
the card payment exchange rate is wrong,card_payment_wrong_exchange_rate,exchange_rate,False
The exchange rate was wrong when I bought something outside the country.,card_payment_wrong_exchange_rate,extra_charge_on_statement,False
The exchange rate on my purchase is wrong.,card_payment_wrong_exchange_rate,exchange_rate,False
This rate is too low. Are you sure your using the right exchange rate.,card_payment_wrong_exchange_rate,exchange_rate,False
"I bought something, but the exchange rate looks wrong.",card_payment_wrong_exchange_rate,exchange_rate,False
